"site","subsite","spp","ind","leaf_type","height","leaf_size","lma","stem_density_25","stem_density_100","segment","length","xsa","mass_stem_main","mass_stem_side","mass_stem_total","mass_leaf_main","mass_leaf_side","mass_leaf_total","area_leaf_main","area_leaf_side","area_leaf_total","number_leaf_main","number_leaf_total","main_leaf_mass_per_length","main_stem_mass_per_length","main_all_mass_per_length","total_leaf_mass_per_length","total_stem_mass_per_length","total_all_mass_per_length","main_leaf_area_per_length","total_area_per_length","leaf_no_per_length","main_LMF","total_LMF","main_LAR","total_LAR"
"daintree",NA,"alssch",2,"simple",NA,6591,0.0001089,0.26303,"3.6091E-01","e",1000,"3.6136E+02",55.695,48.576,104.27,18.909,112.1,131,173670,1029600,1203200,26.351,182.57,0.018909,0.055695,0.074604,0.131,0.10427,0.23527,173.67,1203.2,0.026351,0.25345,0.55681,2327.9,5114.2
"daintree",NA,"alssch",3,"simple",NA,5704,0.0001022,0.30707,"3.5234E-01","0",0,"2.0829E+01",0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"daintree",NA,"alssch",3,"simple",NA,5704,0.0001022,0.30707,"3.5234E-01","a",150,"1.9242E+01",0.8124,0,0.8124,3.301,0,3.301,32297,0,32297,5.6621,5.6621,0.022007,0.005416,0.027423,0.022007,0.005416,0.027423,215.31,215.31,0.037747,0.8025,0.8025,7851.6,7851.6
"daintree",NA,"alssch",3,"simple",NA,5704,0.0001022,0.30707,"3.5234E-01","e",1000,"2.5023E+02",50.345,42.213,92.558,3.301,68.02,71.321,32297,665500,697800,5.6621,122.33,0.003301,0.050345,0.053646,0.071321,0.092558,0.16388,32.297,697.8,0.0056621,0.061533,0.4352,602.03,4258
"daintree","crane","argper",1,"compound",NA,3930,0.0002796,0.5626,"6.6108E-01","0",0,"2.0232E+01",0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"daintree","crane","argper",1,"compound",NA,3930,0.0002796,0.5626,"6.6108E-01","a",180,"4.2380E+01",4.748,1.1275,5.8755,14.048,7.1888,21.237,50245,25712,75957,12.785,19.327,0.078046,0.026378,0.10442,0.11798,0.032642,0.15063,279.14,421.98,0.071026,0.7474,0.78329,2673.1,2801.5
"daintree","crane","argper",1,"compound",NA,3930,0.0002796,0.5626,"6.6108E-01","e",1000,"6.8074E+02",115.97,363.39,479.36,14.926,500.54,515.47,53383,1790200,1843600,13.583,469.1,0.014926,0.11597,0.13089,0.51547,0.47936,0.99483,53.383,1843.6,0.013583,0.11403,0.51815,407.84,1853.2
"daintree","crane","argper",2,"compound",NA,3669,0.0002663,0.54718,"6.6577E-01","0",0,"2.0106E+00",0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"daintree","crane","argper",2,"compound",NA,3669,0.0002663,0.54718,"6.6577E-01","a",190,"1.8473E+01",1.5629,0.2312,1.7941,5.9302,0.7467,6.6769,22272,2804.4,25077,6.0706,6.8349,0.031212,0.0082258,0.039437,0.035142,0.0094426,0.044584,117.22,131.98,0.03195,0.79142,0.78821,2972.4,2960.3
"daintree","crane","argper",2,"compound",NA,3669,0.0002663,0.54718,"6.6577E-01","e",1000,"2.2429E+02",62.87,37.538,100.41,23.629,93.552,117.18,88742,351350,440100,24.188,119.95,0.023629,0.06287,0.086499,0.11718,0.10041,0.21759,88.742,440.1,0.024188,0.27317,0.53854,1025.9,2022.6
"daintree","crane","argper",3,"compound",NA,19060,0.0002113,0.45826,"6.3381E-01","0",0,"9.8960E+00",0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"daintree","crane","argper",3,"compound",NA,19060,0.0002113,0.45826,"6.3381E-01","a",180,"1.9242E+01",1.4088,0,1.4088,10.124,0,10.124,47913,0,47913,2.5136,2.5136,0.056242,0.0078267,0.064069,0.056242,0.0078267,0.064069,266.19,266.19,0.013964,0.87784,0.87784,4154.7,4154.7
"daintree","crane","argper",3,"compound",NA,19060,0.0002113,0.45826,"6.3381E-01","e",1000,"2.9845E+02",62.238,127.86,190.09,11.425,368.93,380.35,54071,1746100,1800100,2.8366,94.437,0.011425,0.062238,0.073662,0.38035,0.19009,0.57044,54.071,1800.1,0.0028366,0.1551,0.66676,734.04,3155.7
