spp,indiv,segment,length,displacement_mass_stem,dry_mass_stem,density_stem,dry_mass_bark,displacement_mass_wood,dry_mass_wood,density_wood,notes
heralb,1,1000mm,55.10,2.835,1.0709,0.3770,0.1795,2.055,0.8914,0.4329,
heralb,2,250mm,23.80,0.241,0.0690,0.2863,0.0298,0.110,0.0392,0.3557,
heralb,2,base,12.30,,,,,0.235,0.1551,0.6587,
heralb,2,1000mm,21.00,1.061,0.4426,0.4163,0.0634,0.776,0.3792,0.4877,
heralb,3,250mm,20.70,0.497,0.1319,0.2651,0.0306,0.329,0.1013,0.3073,
heralb,3,base,,,,,,0.394,0.2348,0.5947,
heralb,3,1000mm,46.00,4.003,1.4828,0.3697,0.2028,3.047,1.2800,0.4192,
heralb,x,base,,,,,,0.334,0.1608,0.4805,
heralb,x,base,,,,,,0.264,0.2129,0.8048,
heralb,x,base,12.10,,,,,0.233,0.1313,0.5629,
ixobif,1,250mm,33.70,0.350,0.1705,0.4869,0.0578,0.170,0.1127,0.6636,
ixobif,1,1000mm,35.40,4.106,2.4816,0.6032,0.6160,2.266,1.8656,0.8217,
ixobif,2,250mm,23.50,0.182,0.1136,0.6246,0.0241,0.124,0.0895,0.7203,
ixobif,2,1000mm,31.20,1.133,0.8374,0.7376,0.1144,0.815,0.7230,0.8853,
ixobif,3,250mm,29.50,0.181,0.1074,0.5922,0.0267,0.116,0.0807,0.6973,
ixobif,3,1000mm,55.20,2.421,1.6830,0.6938,0.2789,1.706,1.4041,0.8214,
ixobif,x,base,,,,,,0.285,0.2366,0.8297,
ixobif,x,base,5.70,,,,,,0.0929,#DIV/0!,
ixobif,x,base,5.55,,,,,,0.0957,#DIV/0!,
lancam,1,250mm,29.90,0.616,0.1013,0.1641,0.0684,0.298,0.0329,0.1104,
lancam,1,1000mm,44.00,1.884,0.4933,0.2613,0.1386,1.350,0.3547,0.2623,
lasstr,1,250mm,31.60,0.878,0.4465,0.5078,0.1395,0.450,0.3070,0.6816,
lasstr,1,1000mm,25.20,1.339,0.7613,0.5674,0.1826,0.832,0.5787,0.6942,
lasstr,2,250mm,25.60,0.327,0.1289,0.3934,0.0540,0.125,0.0749,0.5980,
lasstr,2,1000mm,25.40,2.286,1.2907,0.5635,0.2601,1.447,1.0306,0.7108,
lasstr,3,250mm,27.90,0.962,0.4246,0.4405,0.1113,0.512,0.3133,0.6107,
lasstr,3,1000mm,23.50,1.963,1.0569,0.5373,0.2088,1.309,0.8481,0.6469,
litlee,1,250mm,40.00,0.772,0.3631,0.4694,0.1206,0.485,0.2425,0.4990,
litlee,1,1000mm,35.80,7.050,3.6807,0.5210,0.7316,5.515,2.9491,0.5337,
litlee,2,250mm,41.20,1.075,0.5667,0.5261,0.2143,0.573,0.3524,0.6138,
litlee,2,1000mm,32.70,9.220,5.3255,0.5764,1.5671,6.229,3.7584,0.6022,
litlee,3,250mm,23.50,0.772,0.4311,0.5573,0.1637,0.461,0.2674,0.5795,
litlee,3,1000mm,37.20,9.438,4.7772,0.5052,1.0913,7.184,3.6859,0.5120,
litlee,x,base,,,,,,0.317,0.1466,0.4615,
litlee,x,base,22.00,,,,,,0.1607,#DIV/0!,
litlee,x,base,25.80,,,,,0.485,0.2394,0.4931,
litlee,x,base,25.00,,,,,0.476,0.2146,0.4504,
litlee,x,base,15.10,,,,,0.297,0.2249,0.7567,
litlee,x,base,19.30,,,,,0.365,0.1928,0.5272,
litlee,x,base,17.70,,,,,0.346,0.1528,0.4407,
mactan,1,250mm,38.80,5.640,1.5012,0.2656,0.4678,3.965,1.0334,0.2601,
mactan,1,1000mm,46.10,13.100,5.1335,0.3911,1.0945,10.442,4.0390,0.3860,
mactan,2,250mm,42.60,10.130,2.5204,0.2483,0.8331,7.203,1.6873,0.2338,
mactan,2,1000mm,49.20,18.920,5.3690,0.2832,1.1699,15.230,4.1991,0.2752,
mactan,3,250mm,45.90,10.510,2.6801,0.2545,0.9342,7.283,1.7459,0.2392,
mactan,3,1000mm,57.80,16.330,6.0464,0.3695,1.4120,12.450,4.6344,0.3715,
mactan,x,base,23.50,,,,,,0.1810,#DIV/0!,
mactan,x,base,16.70,,,,,0.312,0.1439,0.4610,
mactan,x,base,19.40,,,,,0.366,0.1832,0.4998,
mactan,x,base,18.30,,,,,0.333,0.1959,0.5880,
malmol,1,250mm,36.40,1.030,0.2866,0.2777,0.1047,0.698,0.1819,0.2601,
malmol,1,1000mm,39.30,4.113,1.5967,0.3874,0.3152,3.338,1.2815,0.3831,
malmol,2,250mm,33.90,0.617,0.1363,0.2205,0.1079,0.217,0.0284,0.1306,
malmol,2,1000mm,47.00,8.100,2.9264,0.3606,0.5686,6.428,2.3578,0.3661,
malmol,3,250mm,33.40,0.825,0.1748,0.2115,0.0907,0.482,0.0841,0.1741,
